spots_kankou,category,Tokyo,N/A,Ōsaka,Kyoto,Kanagawa,Hyōgo,Saitama,Aichi,Kagawa,Hokkaido,Chiba,Ishikawa,Milan,Miyagi,Ehime,Nara,Selangor,Fukuoka,Hiroshima,New South Wales,Nagano,California,Ibaraki,Canterbury,Oita,Kumamoto,Rome,Shizuoka,Akita,North Rhine-Westphalia,Kagoshima,New York,Yamaguchi,Mie,Shiga,Tochigi,Victoria,Wakayama,Gunma,Nagasaki,Niigata,Okayama,Okinawa,Seoul,Singapore,Uusimaa,Yamanashi,Fukushima-ken,Metro Manila,Vienna,Grand Total
サナギ 新宿,飲食,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
タカノフルーツパーラー新宿本店,飲食,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
MENSHO SAN FRANCISCO,飲食,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
天ぷら新宿つな八 総本店,飲食,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
洋食アカシア新宿本店,飲食,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
バガボンド,飲食,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
昌平ラーメン 新宿西口店,飲食,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
レストラン＆カフェ Manna（マンナ）新宿中村屋,飲食,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
本多横丁,飲食,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
アンスティチュ・フランセ 東京,飲食,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
酉玉 神楽坂,飲食,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Grand Total,,1530,256,139,125,104,71,60,49,44,33,28,27,27,26,23,23,22,17,17,17,16,15,15,12,10,8,8,8,7,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2793
