施設名,所在地,緯度,経度,座標系,電話,優待等
恩賜上野動物園,台東区上野公園９－８３,35.7158314,139.7727903,JGD2011,03-3828-5171,ポストカードプレゼント
多摩動物公園,日野市程久保７－１－１,35.6495375,139.4022017,JGD2011,042-591-1611,ポストカードプレゼント
葛西臨海水族園,江戸川区臨海町６－２－３,35.6400947,139.8621658,JGD2011,03-3869-5152,ポストカードプレゼント
井の頭自然文化園,武蔵野市御殿山１－１７－６,35.7016361,139.5712436,JGD2011,0422-46-1100,ポストカードプレゼント
しながわ水族館,品川区勝島３－２－１,35.5884761,139.7375008,JGD2011,03-3762-3433,"大人（高校生以上）通常料金1,350円を優待料金1,080円（ご本人様のみ割引）"
