番号,項目,回答数（人）,回答数（％）
1,デジタルのみで実施,1025,34.4
2,デジタルを中心に実施（紙も少し実施）,876,29.4
3,デジタルと紙を同じ比率で実施,669,22.4
4,紙を中心に実施（デジタルも少し実施）,202,6.8
5,紙のみで実施,209,7
全体,,2981,100
