番号,項目,回答数（人）,回答数（％）
1,51%以上減少した,12,22.6
2,41-50%程度減少した,5,9.4
3,31-40%程度減少した,4,7.5
4,21-30%程度減少した,8,15.1
5,11-20%程度減少した,8,15.1
6,1-10%程度減少した,3,5.7
7,変わらない,5,9.4
8,1-10%程度増加した,1,1.9
9,11-20%程度増加した,1,1.9
10,21-30%程度増加した,2,3.8
11,31-40%程度増加した,1,1.9
12,41-50%程度増加した,0,0
13,51%以上増加した,3,5.7
全体,,53,100
