番号,項目,回答数（人）,回答数（％）
1,1点,17,1.5
2,2点,14,1.2
3,3点,51,4.4
4,4点,36,3.1
5,5点,173,15
6,6点,148,12.8
7,7点,211,18.3
8,8点,320,27.7
9,9点,76,6.6
10,10点,108,9.4
全体,,1154,100
