番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,292,12.6
2,11-20%程度増加した,308,13.3
3,21-30%程度増加した,335,14.5
4,31-40%程度増加した,121,5.2
5,41-50%程度増加した,104,4.5
6,51%以上増加した,233,10.1
7,変わらない,912,39.4
8,減少した,11,0.5
全体,,2316,100
