番号,項目,回答数（人）,回答数（％）
1,クレジットカード,2415,86.2
2,交通系以外の電子マネー（WAON、nanaco、楽天Edy等）,1155,41.2
3,バーコード、QRコード決済（PayPay等）,2109,75.3
4,交通系電子マネー（Suica 、PASMO等）,1281,45.7
5,その他スマホ決済（Apple Pay 、Google Pay等）,88,3.1
6,デビットカード,96,3.4
7,その他,7,0.2
全体,,2802,
