番号,項目,回答数（人）,回答数（％）
1,1000万円未満,397,34.4
2,1000-5000万円未満,490,42.5
3,5000万-1億円未満,120,10.4
4,1-3億円未満,93,8.1
5,3-5億円未満,25,2.2
6,5-10億円未満,9,0.8
7,10億円以上,20,1.7
全体,,1154,100
