自治体名,事業名,実施形態,実施開始日,実施終了日
千代田区,PayPayキャンペーン in 千代田～ちよだのお店でお得に買い物～,デジタル,2021/9/1,2021/9/30
千代田区,PayPayキャンペーン in 千代田 第２弾～「千代田区新しい日常店」でお食事応援～,デジタル,2021/11/1,2021/11/30
港区,キャッシュレスで「トキメク、ミナトク。」地元応援キャンペーン,デジタル,2021/10/21,2021/12/26
新宿区,がんばろう！新宿応援キャンペーン　第1弾　キャッシュレスで最大25%戻ってくる,デジタル,2021/9/1,2021/9/30
新宿区,がんばろう！新宿応援キャンペーン　第1弾　キャッシュレスで最大25%戻ってくる,デジタル,2022/1/7,2022/1/25
文京区,PayPayで文京区の商店街を元気に！！最大10％戻ってくるキャンペーン 第1弾,デジタル,2021/11/16,2021/11/30
文京区,PayPayで文京区の商店街を元気に！！最大30％戻ってくるキャンペーン 第2弾,デジタル,2021/12/1,2022/1/31
台東区,がんばろう！江戸たいとう！最大20％戻ってくるキャンペーン,デジタル,2021/9/1,2021/9/30
墨田区,第2弾！すみだ再発見！キャッシュレスで最大30％戻ってくるキャンペーン,デジタル,2021/9/1,2021/9/30
江東区,PayPayで江東区のお店を応援しよう！キャッシュレスで最大30％戻ってくる！キャンペーン,デジタル,2021/9/1,2021/9/30
品川区,キャッシュレス決済で最大30％戻ってくるキャンペーン　,デジタル,2021/11/1,2021/11/30
目黒区,めぐろキャッシュレス決済によるポイント還元事業,デジタル,2021/10/15,2021/11/15
目黒区,めぐろキャッシュレス決済によるポイント還元事業,デジタル,2021/12/1,2022/1/14
大田区,大田区プレミアム付デジタル商品券,デジタル,2021/11/8,2022/2/13
世田谷区,生活応援キャンペーン,デジタル,2021/8/20,2022/1/31
世田谷区,地元のお店応援キャンペーン第2弾,デジタル,2021/8/20,2022/1/31
世田谷区,せたがやPay1周年記念キャンペーン,デジタル,2022/2/18,2022/2/28
世田谷区,世田谷生活応援券,紙,2021/9/4,2022/1/31
渋谷区,渋谷区のお店を応援しよう！PayPay最大20%戻ってくるキャンペーン,デジタル,2021/9/15,2021/10/24
中野区,中野区でおトク！最大30％戻ってくるキャンペーン！第2弾,デジタル,2021/9/1,2021/9/30
中野区,中野区でおトク！最大30％戻ってくるキャンペーン！第2弾,デジタル,2021/12/1,2021/12/31
杉並区,2021杉並区プレミアム付商品券,デジタル,2021/7/30,2021/10/31
杉並区,2021杉並区プレミアム付商品券,紙,2021/7/30,2021/10/31
豊島区,豊島区プレミアム付商品券,デジタル,2021/11/15,2022/2/15
北区,第２弾北区のお店を応援しよう！キャッシュレスで最大30％戻ってくるキャンペーン,デジタル,2021/12/1,2021/12/31
板橋区,キャッシュレス決済ポイント還元事業,デジタル,2021/7/1,2021/8/31
板橋区,がんばろう板橋！区内のお店応援キャンペーン　第２弾,紙,2021/10/1,2022/2/28
板橋区,プレミアム付商品券事業,デジタル,2021/7/1,2021/8/31
練馬区,キャッシュレス決済ポイント還元事業,デジタル,2021/12/1,2021/12/31
足立区,あだち30買い物券,デジタル,2021/7/1,2022/1/24
足立区,あだち30買い物券,紙,2021/7/1,2022/1/24
葛飾区,かつしかデジタルプレミアム付商品券（かつしかPAY) ,デジタル,2021/10/1,2022/1/31
江戸川区,区内共通商品券まつり,紙,2021/10/1,2021/10/31
江戸川区,30％還元！えどがわ得得キャンペーン～キャッシュレス決済で地元を応援しよう～,デジタル,2021/12/1,2021/12/31
八王子市,東京の街のお店を応援！八王子を元気に！最大20％戻ってくるキャンペーン,デジタル,2021/12/1,2021/12/31
八王子市,ガンバっている飲食店を応援！八王子で最大30％戻ってくるキャンペーン,デジタル,2022/1/1,2022/1/31
立川市,たちかわ大好き！最大30％戻ってくるキャンペーン 第２弾,デジタル,2021/9/1,2021/9/30
立川市,たちかわ大好き！最大20％戻ってくるキャンペーン 第３弾,デジタル,2021/12/1,2021/12/28
武蔵野市,武蔵野市キャッシュレス決済ポイント還元事業,デジタル,2021/12/1,2021/12/28
青梅市,青梅市キャッシュレス決済ポイント還元事業（青梅のお店を応援しよう！キャッシュレスで最大30％戻ってくるキャンペーン）,デジタル,2021/10/1,2021/10/31
青梅市,青梅市プレミアム付商品券事業（わがまち応援券「つかおうよ青梅！2021」）,紙,2021/11/1,2022/1/31
府中市,デジタル版 地元応援商品券「ふちゅチケ」,デジタル,2021/10/1,2022/3/6
昭島市,昭島市を元気に！最大30％戻ってくるキャンペーン！（昭島市キャッシュレス決済ポイント還元事業）,デジタル,2021/9/1,2021/10/31
調布市,調布市でPayPay！最大20%戻ってくるキャンペーン,デジタル,2021/11/1,2022/1/16
調布市,調布市プレミアム付商品券,紙,2021/8/2,2021/10/31
町田市,第２弾 いこいこ町田！PayPay使って“うふふ”な買い物　最大20％戻ってくるキャンペーン,デジタル,2021/6/1,2021/6/30
小金井市,東京の街のお店を応援！小金井地域応援キャンペーン,デジタル,2022/1/5,2022/1/31
小平市,がんばれ小平！ 第3弾 対象のお店で最大30％戻ってくるキャンペーン,デジタル,2021/9/1,2021/9/30
日野市,PayPay使って日野でお買い物！最大30％戻ってくるキャンペーン第2弾,デジタル,2021/7/1,2021/8/31
東村山市,第３弾 がんばろう東村山！最大30％戻ってくるキャンペーン,デジタル,2021/12/1,2022/1/31
国分寺市,PayPayで国分寺市のお店を応援しよう！対象のお店で最大20％戻ってくるキャンペーン,デジタル,2021/9/1,2021/11/30
国立市,東京の街のお店を応援！ファイト！くにたち！最大30％戻ってくるキャンペーン,デジタル,2021/9/1,2021/9/30
国立市,東京の街のお店を応援！ファイト！くにたち！最大25％戻ってくるキャンペーン第２弾,デジタル,2022/1/5,2022/1/31
福生市,福生のお店を応援しよう！最大30％戻ってくるキャンペーン,デジタル,2021/12/1,2021/12/31
狛江市,狛江市プレミアム付商品券,デジタル,2021/9/15,2022/1/31
狛江市,狛江市プレミアム付商品券,紙,2021/9/15,2022/1/31
東大和市,がんばろう東大和！対象のお店で最大30％戻ってくるキャンペーン,デジタル,2021/6/1,2021/6/30
東大和市,がんばろう東大和！対象のお店で最大30％戻ってくるキャンペーン,デジタル,2021/8/1,2021/8/31
東大和市,がんばろう東大和！対象のお店で最大30％戻ってくるキャンペーン,デジタル,2022/2/1,2022/2/28
清瀬市,がんばろう清瀬！最大30%戻ってくるキャンペーン,デジタル,2021/9/1,2021/10/31
清瀬市,がんばろう清瀬！最大30%戻ってくるキャンペーン,デジタル,2022/1/4,2022/1/31
東久留米市,東久留米のお店を応援しよう！キャッシュレスで最大25％戻ってくるキャンペーン,デジタル,2021/9/1,2021/10/31
武蔵村山市,武蔵村山市でPayPay！最大30%戻ってくる！,デジタル,2021/8/1,2021/9/30
多摩市,第3弾「キャッシュレスでGO！GO！多摩」,デジタル,2021/7/15,2021/8/31
多摩市,第4弾「キャッシュレスでGO！GO！多摩」,デジタル,2021/12/24,2022/1/31
稲城市,稲城市キャッシュレス決済ポイント還元事業,デジタル,2021/5/15,2021/6/14
羽村市,PayPayキャンペーン in 羽村‐はむらのお店でお得に買い物,デジタル,2021/12/1,2021/12/26
あきる野市,秋川渓谷プレミアム付デジタル商品券,デジタル,2021/10/15,2022/2/14
瑞穂町,瑞穂町キャッシュレス決済ポイント還元事業,デジタル,2021/12/1,2021/12/31
日の出町,日の出町のお店を応援しよう！最大20％戻ってくるキャンペーン,デジタル,2021/12/1,2021/12/28
檜原村,秋川渓谷プレミアム付デジタル商品券,デジタル,2021/10/15,2022/2/14
大島町,大島町プレミアム付商品券,デジタル,2021/11/15,2022/2/15
大島町,大島町プレミアム付商品券,紙,2021/11/15,2022/2/15
利島村,利島村キャッシュレス決済ポイント還元キャンペーン,デジタル,2022/1/15,2022/1/31
新島村,キャッシュレス化推進事業,デジタル,2021/9/1,2021/9/17
神津島村,東京の街のお店を応援！がんばろう神津島村！最大25％戻ってくるキャンペーン！,デジタル,2021/12/1,2021/12/28
八丈町,八丈町地域応援キャッシュレスキャンペーン還元事業,デジタル,2021/10/1,2021/11/30
