番号,項目,回答数（人）,回答数（％）
1,電話,10035,84.8
2,メール,10549,83.2
3,インターネット検索,10358,80.6
4,写真・動画撮影,9222,74.1
5,メッセンジャーアプリ（LINE、WhatsApp、Messenger等）,8848,71.1
6,生活関連アプリ（地図アプリ、乗り換え案内アプリ、ニュースアプリ、スケジュール管理アプリ等）,8421,67.7
7,スマートフォン決済（非接触型IC決済、QRコード・バーコード決済等）,6775,54.4
8,ショッピングアプリ（Amazon、楽天市場、メルカリ、SHOPLIST、店舗専用アプリ等）,6855,55.1
9,趣味・娯楽アプリ（SNSアプリ、動画アプリ、音楽アプリ、ゲームアプリ、漫画アプリ等）,6248,50.2
10,その他,38,0.3
11,スマートフォンを保有していない,851,6.8
全体,,12446,100
