番号,項目,回答数（人）,回答数（％）
1,事業をきっかけにはじめてキャッシュレス決済を利用した,486,16.3
2,事業をきっかけに普段使用していなかったキャッシュレス決済の利用を再開した,300,10.1
3,事業に参加する前からキャッシュレス決済を日常的に利用していた,2016,67.6
4,キャッシュレス決済を利用していない,179,6
全体,,2981,100
