番号,項目,回答数（人）,満足（％）,やや満足（％）,普通（％）,やや不満（％）,不満（％）
1,小売業(最寄り品)（n=232）,232,23.3,31.9,35.3,5.2,4.3
2,小売業(買回り品)（n=178）,178,22.5,32.6,28.1,9.6,7.3
3,宿泊業（n=10）,10,0,40,50,10,0
4,飲食業(居酒屋・BAR)（n=116）,116,15.5,35.3,35.3,9.5,4.3
5,飲食業(居酒屋・BAR以外)（n=227）,227,27.3,31.3,31.3,6.2,4
6,娯楽サービス業（n=35）,35,20,37.1,31.4,5.7,5.7
7,生活関連サービス業（n=276）,276,13.4,28.3,41.7,10.9,5.8
8,その他（n=80）,80,8.8,25,42.5,15,8.8
全体,,1154,,,,,
