番号,項目,回答数（人）,満足（％）,普通（％）,不満（％）
1,"デジタル形式（n=1,862）",2263,58.7,29.1,12.2
2,紙形式（n=867）,1140,51.8,33.8,14.4
全体,,3403,,,
