番号,項目,回答数（人）,意識することが増えた（％）,変わらない（％）,意識することが減った（％）
1,"デジタル形式（n=1,089)",1089,54.3,45.5,0.3
2,紙形式（n=465）,465,45.6,53.8,0.6
全体,,1554,,,
