番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),196,18
2,ほぼ変わらない（±5%未満）,541,49.6
3,少し減少した（5-20%未満）,223,20.5
4,かなり減少した（20%以上）,130,11.9
全体,,1090,100
