番号,項目,回答数（人）,かなり影響している（％）,どちらかというと影響している（％）,どちらともいえない（％）,どちらかというと影響していない（％）,影響していない（％）
1,20代以下（n=428),419,19.3,46.3,23.9,6.2,4.3
2,"30代以上（n=3,293）",3277,15.3,43.5,25.2,9.3,6.7
全体,,3696,,,,,
