番号,項目,回答数（人）,回答数（％）
1,支払手続を簡単・迅速に行えるから,1943,71.2
2,割引やポイント等の特典が得られるから,2092,76.7
3,現金を持ち歩く必要がなくなるから,1465,53.7
4,現金に触れる必要がなく衛生的に支払ができるから,939,34.4
5,人との接触回数を減らすことができるから,548,20.1
6,支払履歴が分かり、お金の管理をしやすいから,831,30.5
7,持ち歩いている金額以上の買物ができるから,394,14.4
8,現金の紛失・盗難のおそれがなくなるから,437,16
9,定期的に公共団体や民間企業のキャンペーンが実施されるから,740,27.1
10,利用できる店舗や場所が増えているから,981,35.9
11,その他,15,0.5
全体,,2193,
