番号,項目,回答数（人）,回答数（％）
1,たいへん使いやすかった,27,6.1
2,使いやすかった,88,19.9
3,普通,229,51.7
4,やや使いにくかった,55,12.4
5,使いにくかった,44,9.9
全体,,443,100
