番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),606,43.2
2,ほぼ変わらない（±5%未満）,581,41.4
3,少し減少した（5-20%未満）,164,11.7
4,かなり減少した（20%以上）,53,3.8
全体,,1404,100
