番号,項目,回答数（人）,回答数（％）
1,たいへん使いやすかった,146,15.3
2,使いやすかった,332,34.7
3,普通,322,33.6
4,やや使いにくかった,101,10.6
5,使いにくかった,56,5.9
全体,,957,100
