番号,項目,回答数（人）,回答数（％）
1,チェーン店のスーパー、コンビニ、小売店,2348,78.8
2,個人商店,1156,38.8
3,チェーン店のレストラン,1060,35.6
4,個人経営の飲食店,695,23.3
5,大規模小売店（大型家電量販店、百貨店など）,726,24.4
6,その他,60,2
全体,,2981,
