番号,項目,回答数（人）,回答数（％）
1,参加店舗数が少ない,382,32.9
2,アプリが利用しにくい,175,15.1
3,還元上限額が低い,154,13.3
4,広告・周知がされていない,148,12.7
5,実施期間が短い,129,11.1
6,デジタルを使える店が少ない,60,5.2
7,還元率が低い,50,4.3
8,手続きが面倒である,48,4.1
9,当選者数が少ない,37,3.2
10,紙の商品券が使いにくい,15,1.3
11,その他,65,5.6
全体,,1162,
