番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,358,31
2,11-20%程度増加した,142,12.3
3,21-30%程度増加した,54,4.7
4,31-40%程度増加した,18,1.6
5,41-50%程度増加した,10,0.9
6,51%以上増加した,10,0.9
7,変わらない,521,45.1
8,減少した,41,3.6
全体,,1154,100
