番号,項目,回答数（人）,回答数（％）
1,非接触の決済だから,1531,77.4
2,密が回避できるから（対面時間の短縮等）,799,40.4
3,心理的に安心できるから,448,22.6
4,その他,16,0.8
全体,,1978,
