番号,項目,回答数（人）,回答数（％）
1,消費意欲が上がった/お得感がある,295,40.6
2,還元率が高い,220,28.9
3,参加店舗数が多い,76,10
4,アプリが利用しやすい,74,9.9
5,個人経営の店を助けることができた/知ることができた,58,8.1
6,手続きが簡単である,13,2.2
7,その他,37,4.7
全体,,773,104.5
