番号,項目,回答数（人）,回答数（％）
1,デジタルのみで実施,480,41.6
2,デジタルを中心に実施し、紙も少し実施,250,21.7
3,デジタルと紙を同じ比率で実施,267,23.1
4,紙を中心に実施し、デジタルも少し実施,62,5.4
5,紙のみで実施,95,8.2
全体,,1154,100
