番号,項目,回答数（人）,回答数（％）
1,小売業(最寄り品),232,20.1
2,小売業(買回り品),178,15.4
3,宿泊業,10,0.9
4,飲食業(居酒屋・BAR),116,10.1
5,飲食業(居酒屋・BAR以外),227,19.7
6,娯楽サービス業,35,3
7,生活関連サービス業,276,23.9
8,その他,80,6.9
全体,,1154,100
