番号,項目,回答数（人）,回答数（％）
1,ほぼすべての支払いをキャッシュレスで行っている,1653,59
2,キャッシュレス決済と現金決済を同程度利用している,888,31.7
3,特定の場面でのみキャッシュレス決済を利用している（公共交通機関利用時、高額決済時など）,261,9.3
全体,,2240,100
