番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,340,31.2
2,11-20%程度増加した,195,17.9
3,21-30%程度増加した,135,12.4
4,31-40%程度増加した,44,4
5,41-50%程度増加した,36,3.3
6,51%以上増加した,83,7.6
7,変わらない,256,23.5
8,減少した,1,0.1
全体,,1090,100
