番号,項目,参加者（人）,不参加者（人）,参加者（％）,不参加者（％）
1,電話,2490,10035,83.5,80.6
2,メール,2623,10358,88,84.8
3,インターネット検索,2643,10549,88.7,82.2
4,写真・動画撮影,2372,9222,79.6,74.1
5,メッセンジャーアプリ※１,2354,8848,79,71.1
6,生活関連アプリ※２,2339,8421,78.5,67.7
7,趣味・娯楽アプリ※５,1774,6248,59.5,50.2
8,ショッピングアプリ※４,1979,6855,66.4,55.1
9,スマホ決済※３,2149,6775,72.1,54.4
10,その他,29,38,2.1,0.3
11,スマートフォンを保有していない,64,851,1,6.8
全体,,2981,12446,,
