番号,項目,回答数（人）,回答数（％）
1,まったく減っていない,115,10
2,あまり減っていない,194,16.8
3,どちらともいえない,444,38.5
4,やや減っている,351,30.4
5,とても減っている,50,4.3
全体,,1154,100
