番号,項目,回答数（人）,回答数（％）
1,0～5人,875,75.8
2,6～20人,204,17.7
3,21～50人,48,4.2
4,51～100人,10,0.9
5,101～300人,9,0.8
6,301人～,8,0.7
全体,,1154,100
