番号,項目,回答数（人）,回答数（％）
1,参加しなかったが、知っていた,3051,24.5
2,知らなかったし、知っていても参加しなかった,4316,34.7
3,知らなかったが、知っていたら参加した,5079,40.8
全体,,12446,100
