番号,項目,回答数（人）,回答数（％）
1,かなり影響している,168,14.6
2,どちらかというと影響している,502,43.5
3,どちらともいえない,296,25.6
4,どちらかというと影響していない,107,9.3
5,影響していない,81,7
全体,,1154,100
