番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,350,32.1
2,11-20%程度増加した,213,19.5
3,21-30%程度増加した,138,12.7
4,31-40%程度増加した,55,5
5,41-50%程度増加した,39,3.6
6,51%以上増加した,90,8.3
7,変わらない,204,18.7
8,減少した,1,0.1
全体,,1090,100
