番号,項目,回答数（人）,回答数（％）
1,たいへん換金しやすかった,24,5.4
2,換金しやすかった,74,16.6
3,普通,183,40.9
4,やや換金しにくかった,93,20.8
5,換金しにくかった,73,16.3
全体,,447,100
