番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),609,43.7
2,ほぼ変わらない（±5%未満）,561,40.3
3,少し減少した（5-20%未満）,157,11.3
4,かなり減少した（20%以上）,66,4.7
全体,,1393,100
