番号,項目,回答数（人）,回答数（％）
1,普段よりかなり多く消費した（30%以上）,287,9.6
2,普段より多く消費した（10%-30%未満）,742,24.9
3,普段より少し多く消費した（1%-10%未満）,777,26.1
4,普段と同じ程度の消費だった,1142,38.3
5,普段より少ない消費だった,33,1.1
全体,,2981,100
