,総合効果（生産誘発効果）（百万円）,粗付加価値誘発効果（百万円）
直接効果,"43,805","22,729"
一次波及効果,"15,541","8,745"
二次波及効果,"6,807","4,224"
総合効果,"66,153","35,698"
