事業区分_1,事業区分_2,還元対象額・販売額（百万円）,うち消費者への還元額（百万円）
デジタル活用事業のみで実施,全体,29735,7865
デジタル活用事業のみで実施,ポイント還元方式,27037,6949
デジタル活用事業のみで実施,デジタル商品券方式,2698,915
デジタル活用事業と紙商品券事業を併用実施,全体,12382,2865
デジタル活用事業と紙商品券事業を併用実施,ポイント還元方式と併用,10390,2278
デジタル活用事業と紙商品券事業を併用実施,デジタル商品券方式と併用,1992,587
