番号,項目,回答数（人）,回答数（％）
1,使いやすかった,589,26
2,やや使いやすかった,739,32.7
3,普通,658,29.1
4,やや使いにくかった,202,8.9
5,使いにくかった,75,3.3
全体,,2263,100
