番号,項目,回答数（人）,回答数（％）
1,10代,1,0.1
2,20代,17,1.5
3,30代,111,9.6
4,40代,323,28
5,50代,359,31.1
6,60代,212,18.4
7,70代以上,131,11.4
全体,,1154,100
