番号,項目,回答数（人）,回答数（％）
1,電話,2490,83.5
2,メール,2623,88
3,インターネット検索,2643,88.7
4,写真・動画撮影,2372,79.6
5,メッセンジャーアプリ（LINE、WhatsApp、Messenger等）,2354,79
6,生活関連アプリ（地図アプリ、乗り換え案内アプリ、ニュースアプリ、スケジュール管理アプリ等）,2339,78.5
7,趣味・娯楽アプリ（SNSアプリ、動画アプリ、音楽アプリ、ゲームアプリ、漫画アプリ等）,1774,59.5
8,ショッピングアプリ（Amazon、楽天市場、メルカリ、SHOPLIST、店舗専用アプリ等）,1979,66.4
9,スマホ決済（非接触型IC決済、QRコード・バーコード決済等）,2149,72.1
10,その他,29,1
11,スマートフォンを保有していない,64,2.1
全体,,2981,
