番号,項目,回答数（人）,回答数（％）
1,デジタルのみで実施,826,34.7
2,デジタルを中心に実施（紙も少し実施）,703,29.5
3,デジタルと紙を同じ比率で実施,520,21.8
4,紙を中心に実施（デジタルも少し実施）,163,6.8
5,紙のみで実施,169,7.1
全体,,2381,100
