番号,項目,回答数（人）,回答数（％）
1,10点,123,4.1
2,9点,273,9.2
3,8点,904,30.3
4,7点,774,26
5,6点,473,15.9
6,5点,286,9.6
7,4点,64,2.1
8,3点,48,1.6
9,2点,14,0.5
10,1点,22,0.7
全体,,2981,100
