番号,項目,回答数（人）,回答数（％）
1,たいへん換金しやすかった,196,20.5
2,換金しやすかった,233,24.4
3,普通,448,46.9
4,やや換金しにくかった,45,4.7
5,換金しにくかった,33,3.5
全体,,955,100
