番号,項目,回答数（人）,回答数（％）
1,自治体が実施するキャッシュレス関連キャンペーン,333,14.4
2,国が実施するキャッシュレス関連キャンペーン（キャッシュレス・ポイント還元事業）,240,10.4
3,民間事業者が実施するキャッシュレス関連キャンペーン,761,32.9
4,キャンペーンがきっかけではなく自発的に始めた,967,41.8
5,その他,15,0.6
全体,,2316,100
