番号,項目,回答数（人）,21%以上増加した（％）,1%-20%増加した（％）,変わらない（％）
1,小売業(最寄り品)（n=232）,232,23.1,56.5,20.4
2,小売業(買回り品)（n=178）,178,26.2,44.2,29.7
3,宿泊業（n=10）,10,20,50,30
4,飲食業(居酒屋・BAR)（n=116）,116,30.7,51.8,17.5
5,飲食業(居酒屋・BAR以外)（n=227）,227,35.6,48.1,15.7
6,娯楽サービス業（n=35）,35,35.3,47.1,17.6
7,生活関連サービス業（n=276）,276,24.3,47.5,28.2
8,その他（n=80）,80,20.5,43.8,35.6
全体,,1154,,,
