番号,項目,回答数（人）,回答数（％）
1,200万未満,580,19.5
2,200～400万未満,514,17.2
3,400～600万未満,482,16.2
4,600～800万未満,293,9.8
5,800～1000万未満,165,5.5
6,1000～1200万未満,94,3.2
7,1200～1500万未満,50,1.7
8,1500～2000万未満,27,0.9
9,2000万円以上,23,0.8
10,わからない,134,4.5
11,無回答,134,20.8
全体,,2981,100
