番号,項目,回答数（人）,回答数（％）
1,公務員,1250,2.4
2,経営者・役員,1260,2.4
3,会社員(事務系),10964,20.9
4,会社員(技術系),5675,10.8
5,会社員(その他),7310,13.9
6,自営業,2868,5.5
7,自由業,1583,3
8,専業主婦(主夫),6839,13
9,パート・アルバイト,6242,11.9
10,学生,1546,2.9
11,その他,1501,2.9
12,無職,5497,10.5
全体,,52535,100
