番号,項目,回答数（人）,回答数（％）
1,10代,87,7.5
2,20代,332,28.8
3,30代,666,57.7
4,40代,864,74.9
5,50代,792,68.6
6,60代,582,50.4
7,70代以上,373,32.3
全体,,1154,320.3
