番号,項目,回答数（人）,回答数（％）
1,消費意欲が上がった/売上に貢献した,120,35.1
2,宣伝になる/新規のお客様が増えた,77,22.5
3,手続きが簡単である,52,15.2
4,アプリが利用しやすい,47,13.7
5,還元率が高い,22,6.4
6,その他,24,7
全体,,342,100
