番号,項目,回答数（人）,回答数（％）
1,手数料が高い,16,4.4
2,還元上限額が低い,15,4.2
3,広告・周知がされていない,85,23.5
4,実施期間が短い,33,9.1
5,アプリが利用しにくい,65,18
6,参加店舗が少ない,17,4.7
7,手続きが面倒である,62,17.2
8,紙の商品券が使いにくい,29,8
9,その他,39,10.8
全体,,348,100
