番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),191,21.6
2,ほぼ変わらない（±5%未満）,357,40.3
3,少し減少した（5-20%未満）,212,24
4,かなり減少した（20%以上）,125,14.1
全体,,885,100
