番号,項目,回答数（人）,回答数（％）
1,12歳未満,0,0
2,12歳～19歳,17,0.6
3,20歳～24歳,66,2.2
4,25歳～29歳,179,6
5,30歳～34歳,265,8.9
6,35歳～39歳,298,10
7,40歳～44歳,321,10.8
8,45歳～49歳,365,12.2
9,50歳～54歳,404,13.6
10,55歳～59歳,344,11.5
11,60歳～64歳,271,9.1
12,65歳～69歳,211,7.1
13,70歳～74歳,171,5.7
14,75歳～79歳,49,1.6
15,80歳以上,20,0.7
全体,,2981,100
