番号,項目,回答数（人）,回答数（％）
1,まったく減っていない,83,2.8
2,あまり減っていない,356,11.9
3,どちらともいえない,1100,36.9
4,やや減っている,1011,33.9
5,とても減っている,431,14.5
全体,,2981,100
