番号,項目,回答数（人）,回答数（％）
1,非接触の決済だから,547,47.4
2,密が回避できるから（対面時間の短縮等）,49,4.2
3,人手不足が解消できるから,118,10.2
4,心理的に安心できるから,102,8.8
5,その他,7,0.6
6,無回答,553,47.9
全体,,1154,
