番号,項目,回答数（人）,回答数（％）
1,千代田区,30,1
2,中央区,0,0
3,港区,13,0.4
4,新宿区,84,2.8
5,文京区,12,0.4
6,台東区,38,1.3
7,墨田区,66,2.2
8,江東区,97,3.3
9,品川区,194,6.5
10,目黒区,28,0.9
11,大田区,167,5.6
12,世田谷区,157,5.3
13,渋谷区,88,3
14,中野区,72,2.4
15,杉並区,257,8.6
16,豊島区,48,1.6
17,北区,14,0.5
18,荒川区,0,0
19,板橋区,111,3.7
20,練馬区,200,6.7
21,足立区,191,6.4
22,葛飾区,29,1
23,江戸川区,173,5.8
24,西東京市,160,5.4
25,東久留米市,63,2.1
26,小平市,63,2.1
27,東村山市,0,0
28,清瀬市,4,0.1
29,国立市,106,3.6
30,国分寺市,27,0.9
31,立川市,28,0.9
32,昭島市,108,3.6
33,東大和市,15,0.5
34,武蔵村山市,42,1.4
35,府中市,49,1.6
36,小金井市,10,0.3
37,武蔵野市,10,0.3
38,三鷹市,20,0.7
39,調布市,6,0.2
40,狛江市,7,0.2
41,福生市,14,0.5
42,羽村市,21,0.7
43,青梅市,69,2.3
44,あきる野市,9,0.3
45,瑞穂町,32,1.1
46,日の出町,15,0.5
47,奥多摩町,12,0.4
48,檜原村,11,0.4
49,稲城市,0,0
50,多摩市,10,0.3
51,町田市,1,0
52,日野市,0,0
53,八王子市,0,0
54,大島町,0,0
55,新島村,0,0
56,三宅村,0,0
57,八丈町,0,0
58,利島村,0,0
59,神津島村,0,0
60,御蔵島村,0,0
61,青ヶ島村,0,0
62,小笠原村,0,0
63,その他,0,0
全体,,2981,100
