番号,項目,回答数（人）,回答数（％）
1,12歳未満,0,0
2,12歳～19歳,716,1.4
3,20歳～24歳,1870,3.6
4,25歳～29歳,3331,6.3
5,30歳～34歳,4187,8
6,35歳～39歳,4579,8.7
7,40歳～44歳,4885,9.3
8,45歳～49歳,6384,12.2
9,50歳～54歳,7354,14
10,55歳～59歳,6663,12.7
11,60歳～64歳,5209,9.9
12,65歳～69歳,3108,5.9
13,70歳～74歳,2661,5.1
14,75歳～79歳,996,1.9
15,80歳以上,592,1.1
全体,,52535,100
