番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),892,31.8
2,ほぼ変わらない（±5%未満）,1593,56.9
3,少し減少した（5-20%未満）,222,7.9
4,かなり減少した（20%以上）,95,3.4
全体,,2802,100
