番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,339,14.6
2,11-20%程度増加した,305,13.2
3,21-30%程度増加した,327,14.1
4,31-40%程度増加した,116,5
5,41-50%程度増加した,104,4.5
6,51%以上増加した,213,9.2
7,変わらない,898,38.8
8,減少した,14,0.6
全体,,2316,100
