番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),181,21.7
2,ほぼ変わらない（±5%未満）,340,40.8
3,少し減少した（5-20%未満）,194,23.3
4,かなり減少した（20%以上）,118,14.2
全体,,833,100
