番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),195,17.9
2,ほぼ変わらない（±5%未満）,562,51.6
3,少し減少した（5-20%未満）,206,18.9
4,かなり減少した（20%以上）,127,11.7
全体,,1090,
