番号,項目,回答数（人）,回答数（％）
1,必ずポイント等が還元される店舗で購入している,435,14.6
2,できるだけ、ポイント等が還元される店舗で購入している,1616,54.2
3,どちらかというと、ポイント等が還元される店舗で購入している,546,18.3
4,気にしていない,384,12.9
全体,,2981,100
